customer_id,first_name,last_name,email,city,country
1,Customer_1,User_1,customer1@gmail.com,Yamoussoukro,Senegal
2,Customer_2,User_2,customer2@gmail.com,Casablanca,Maroc
3,Customer_3,User_3,customer3@gmail.com,Abidjan,France
4,Customer_4,User_4,customer4@gmail.com,Casablanca,Cote d'Ivoire
5,Customer_5,User_5,customer5@gmail.com,Yamoussoukro,France
6,Customer_6,User_6,customer6@gmail.com,Casablanca,Senegal
7,Customer_7,User_7,customer7@gmail.com,Paris,Senegal
8,Customer_8,User_8,customer8@gmail.com,Abidjan,Senegal
9,Customer_9,User_9,customer9@gmail.com,Yamoussoukro,Senegal
10,Customer_10,User_10,customer10@gmail.com,Yamoussoukro,Maroc
11,Customer_11,User_11,customer11@gmail.com,Casablanca,Maroc
12,Customer_12,User_12,customer12@gmail.com,Abidjan,Cote d'Ivoire
13,Customer_13,User_13,customer13@gmail.com,Dakar,Maroc
14,Customer_14,User_14,customer14@gmail.com,Bouake,Senegal
15,Customer_15,User_15,customer15@gmail.com,Bouake,Cote d'Ivoire
16,Customer_16,User_16,customer16@gmail.com,Dakar,Senegal
17,Customer_17,User_17,customer17@gmail.com,Dakar,Senegal
18,Customer_18,User_18,customer18@gmail.com,Bouake,Maroc
19,Customer_19,User_19,customer19@gmail.com,Dakar,Senegal
20,Customer_20,User_20,customer20@gmail.com,Paris,Cote d'Ivoire
21,Customer_21,User_21,customer21@gmail.com,Dakar,Senegal
22,Customer_22,User_22,customer22@gmail.com,Bouake,France
23,Customer_23,User_23,customer23@gmail.com,Casablanca,France
24,Customer_24,User_24,customer24@gmail.com,Dakar,Cote d'Ivoire
25,Customer_25,User_25,customer25@gmail.com,Paris,Cote d'Ivoire
26,Customer_26,User_26,customer26@gmail.com,Abidjan,Cote d'Ivoire
27,Customer_27,User_27,customer27@gmail.com,Casablanca,Senegal
28,Customer_28,User_28,customer28@gmail.com,Abidjan,Senegal
